,Name,System,Username,RT,Pubchem,InChI,Time
1,epicatechin,FEM_long,jan,20.465,NA,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2",5/12/2015 4:32
2,chrysin,FEM_long,jan,40.88,NA,"InChI=1S/C15H10O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-8,16-17H",9/2/2014 5:20
